cluster_id,user_address,block_time,currency_symbol,amount_original,source_chain_name,destination_chain_name,total_times,source_bridge_contract,destination_bridge_contract,debank_balance,txs_count,amount,source/destination_chain_count/contract_count,day/week/month
1,0x2d2e02358829e0a2d7bb6b17b31c2eb9f6e78544,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,53,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,206,53,13232.66,"8 , 14 , 26","33 , 24 , 13"
1,0x220254a92b00fe0c36e042a48c6fd2acd19a0784,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,55,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,165,55,16192.53,"8 , 16 , 30","33 , 24 , 14"
1,0x4b659bc00e33e8aec07fe060c842e04c80d4b1e6,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,65,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,176,65,13653.76,"7 , 14 , 24","44 , 33 , 15"
1,0x4ece098b68b15e2b8f39e2afeaa771f57a30a877,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,63,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,163,63,12545.49,"9 , 13 , 27","41 , 31 , 14"
1,0x9888eb226ec91b92dad783426992fcbd149866b6,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,62,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,219,62,10386.23,"8 , 16 , 30","39 , 31 , 15"
1,0xb822e6e9c336bfb62ad6f83e4b08cded96f96967,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,53,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,168,53,13505.06,"8 , 13 , 24","33 , 24 , 15"
1,0xc911ecad985484568042e481c102dc5918302e98,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,60,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,180,60,6859.77,"8 , 12 , 26","38 , 31 , 15"
1,0xfe6ccdd7656130bfcd205a28bd0182bc9c0b1f3e,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,67,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,185,67,18526.86,"8 , 16 , 29","41 , 35 , 17"
1,0x9b4edd0e0c3ac8b8c409163eec92ca56f7ba6f42,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,56,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,226,56,8475.02,"8 , 13 , 24","36 , 32 , 15"
1,0xf72e4571c995f49707234c03201ce17392260adf,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,58,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,254,58,9835,"8 , 13 , 26","40 , 32 , 15"
1,0x255546edbc2406983ec31190ddf33e93099cffc6,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,57,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,187,57,13232.24,"8 , 14 , 28","33 , 24 , 13"
1,0x0450b540ab4f6558de643dbf4839e3947f7643dd,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,62,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,195,62,16885.31,"8 , 14 , 26","42 , 33 , 16"
1,0xe230368d480def0e27442f6eb8ec31a2cd5c08ff,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,61,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,148,61,13313.03,"8 , 14 , 27","38 , 30 , 14"
1,0x2eed454fd596d35cce530958cedbf7a7d6c33641,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,67,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,186,67,22483.55,"7 , 14 , 23","43 , 35 , 15"
1,0x3007cf02e6b5a5df904ba4307c9039005f61ecb4,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,62,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,192,62,16958.1,"8 , 16 , 27","42 , 32 , 15"
1,0x7c7f35e1b1341caaa05c9850f3c06ffc1f53d0ae,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,66,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,219,66,15351.04,"8 , 14 , 30","43 , 32 , 15"
